Aggettivo,Comparativo,Superlativo,Significato,Frequenza
gut,besser,am besten,buono,1
groß,größer,am größten,grande,1
neu,neuer,am neuesten,nuovo,1
klein,kleiner,am kleinsten,piccolo,1
alt,älter,am ältesten,vecchio,1
lang,länger,am längsten,lungo,1
jung,jünger,am jüngsten,giovane,1
hoch,höher,am höchsten,alto,1
kurz,kürzer,am kürzesten,corto,1
stark,stärker,am stärksten,forte,1
deutsch,deutscher,am deutschesten,tedesco,3
eigen,eigener,am eigensten,proprio,2
ganz,ganzer,am ganzesten,intero,2
andere,anderer,am andersten,altro,3
verschieden,verschiedener,am verschiedensten,diverso,3
beide,beider,-,entrambi,2
einzeln,einzelner,am einzelnsten,singolo,3
voll,voller,am vollsten,pieno,1
erst,erster,-,primo,2
politisch,politischer,am politischsten,politico,3
möglich,möglicher,am möglichsten,possibile,3
weit,weiter,am weitesten,ampio/lontano,2
wichtig,wichtiger,am wichtigsten,importante,1
öffentlich,öffentlicher,am öffentlichsten,pubblico,3
wirtschaftlich,wirtschaftlicher,am wirtschaftlichsten,economico,4
frei,freier,am freiesten,libero,2
einfach,einfacher,am einfachsten,semplice,1
gemeinsam,gemeinsamer,am gemeinsamsten,comune,3
deutlich,deutlicher,am deutlichsten,chiaro,3
schwer,schwerer,am schwersten,pesante/difficile,1
gering,geringer,am geringsten,scarso,3
hell,heller,am hellsten,chiaro/luminoso,1
schwarz,schwärzer,am schwärzesten,nero,3
weiß,weißer,am weißesten,bianco,2
schnell,schneller,am schnellsten,veloce,1
letzt,letzter,-,ultimo,2
rot,röter,am rötesten,rosso,2
richtig,richtiger,am richtigsten,giusto,1
sozial,sozialer,am sozialsten,sociale,3
staatlich,staatlicher,am staatlichsten,statale,3
halb,halber,-,mezzo,2
bestimmt,bestimmter,am bestimmtesten,determinato,3
spät,später,am spätesten,tardi,1
eng,enger,am engsten,stretto,1
tief,tiefer,am tiefsten,profondo,1
französisch,französischer,am französischsten,francese,3
früh,früher,am frühesten,presto,1
gesamt,gesamter,am gesamtesten,totale,3
europäisch,europäischer,am europäischsten,europeo,3
gleich,gleicher,am gleichsten,uguale,3
männlich,männlicher,am männlichsten,maschile,3
inner,innerer,am innersten,interno,2
ähnlich,ähnlicher,am ähnlichsten,simile,3
grün,grüner,am grünsten,verde,2
nah,näher,am nächsten,vicino,1
mehrere,mehrerer,-,diversi/parecchi,3
amerikanisch,amerikanischer,am amerikanischsten,americano,3
bekannt,bekannter,am bekanntesten,noto/conosciuto,3
besonder,besonderer,am besondersten,particolare,3
klar,klarer,am klarsten,chiaro,2
modern,moderner,am modernsten,moderno,3
international,internationaler,am internationalsten,internazionale,4
national,nationaler,am nationalsten,nazionale,3
italienisch,italienischer,am italienischsten,italiano,3
einzig,einziger,am einzigsten,unico,3
englisch,englischer,am englischsten,inglese,3
blau,blauer,am blausten,blu,2
weitere,weiterer,-,ulteriore,3
schwierig,schwieriger,am schwierigsten,difficile,1
wesentlich,wesentlicher,am wesentlichsten,essenziale,3
schön,schöner,am schönsten,bello,1
golden,goldener,am goldensten,dorato,3
rund,runder,am rundesten,rotondo,2
direkt,direkter,am direktesten,diretto,3
wenig,weniger,am wenigsten,poco,1
zentral,zentraler,am zentralsten,centrale,3
zahlreich,zahlreicher,am zahlreichsten,numeroso,3
persönlich,persönlicher,am persönlichsten,personale,3
russisch,russischer,am russischsten,russo,3
außen,äußerer,am äußersten,esterno,2
ander,anderer,am andersten,altro,2
mild,milder,am mildesten,mite,2
sicher,sicherer,am sichersten,sicuro,3
vorig,voriger,-,precedente,2
dünn,dünner,am dünnsten,sottile,1
britisch,britischer,am britischsten,britannico,3
blind,blinder,am blindesten,cieco,2
einheitlich,einheitlicher,am einheitlichsten,unitario,3
kulturell,kultureller,am kulturellsten,culturale,3
künstlerisch,künstlerischer,am künstlerischsten,artistico,3
sanft,sanfter,am sanftesten,dolce/gentile,2
israelisch,israelischer,am israelischsten,israeliano,3
link,linker,am linkesten,sinistro,2
recht,rechter,am rechtesten,destro,2
äußer,äußerer,am äußersten,estremo,2
offen,offener,am offensten,aperto,2
schlecht,schlechter,am schlechtesten,cattivo,1
militärisch,militärischer,am militärischsten,militare,3
fest,fester,am festesten,fisso/solido,2
schmal,schmaler,am schmalsten,stretto,3
dick,dicker,am dicksten,grosso/spesso,1
kirchlich,kirchlicher,am kirchlichsten,ecclesiastico,3
scharf,schärfer,am schärfsten,affilato/piccante,2
breit,breiter,am breitesten,largo,1
niedrig,niedriger,am niedrigsten,basso,1
warm,wärmer,am wärmsten,caldo,1
süß,süßer,am süßesten,dolce,2
offiziell,offizieller,am offiziellsten,ufficiale,3
wild,wilder,am wildesten,selvaggio,2
leer,leerer,am leersten,vuoto,1
normal,normaler,am normalsten,normale,3
nächst,nächster,-,prossimo,3
rein,reiner,am reinsten,puro,2
hart,härter,am härtesten,duro,1
regional,regionaler,am regionalsten,regionale,3
sogenannt,sogenannter,-,cosiddetto,3
katholisch,katholischer,am katholischsten,cattolico,3
selten,seltener,am seltensten,raro,3
allgemein,allgemeiner,am allgemeinsten,generale,3
tot,toter,am totesten,morto,2
griechisch,griechischer,am griechischsten,greco,3
ruhig,ruhiger,am ruhigsten,tranquillo,2
still,stiller,am stillsten,silenzioso,2
aktuell,aktueller,am aktuellsten,attuale,3
wissenschaftlich,wissenschaftlicher,am wissenschaftlichsten,scientifico,4
ständig,ständiger,am ständigsten,costante,3
trocken,trockener,am trockensten,secco,2
bunt,bunter,am buntesten,colorato,2
gelb,gelber,am gelbsten,giallo,2
technisch,technischer,am technischsten,tecnico,3
privat,privater,am privatesten,privato,3
älter,älterer,am ältesten,più vecchio,2
lieb,lieber,am liebsten,caro,2
arm,ärmer,am ärmsten,povero,1
reich,reicher,am reichsten,ricco,1
ausländisch,ausländischer,am ausländischsten,straniero,3
neutral,neutraler,am neutralsten,neutrale,3
laut,lauter,am lautesten,rumoroso,2
flach,flacher,am flachsten,piatto,1
leicht,leichter,am leichtesten,leggero/facile,1
ökonomisch,ökonomischer,am ökonomischsten,economico,3
böse,böser,am bösesten,cattivo/arrabbiato,2
gesund,gesünder,am gesündesten,sano,2
krank,kränker,am kränksten,malato,2
praktisch,praktischer,am praktischsten,pratico,2
ideal,idealer,am idealsten,ideale,2
günstig,günstiger,am günstigsten,favorevole/conveniente,3
elektronisch,elektronischer,am elektronischsten,elettronico,3
japanisch,japanischer,am japanischsten,giapponese,3
kommunal,kommunaler,am kommunalsten,comunale,3
östlich,östlicher,am östlichsten,orientale,3
westlich,westlicher,am westlichsten,occidentale,3
nördlich,nördlicher,am nördlichsten,settentrionale,3
südlich,südlicher,am südlichsten,meridionale,3
belgisch,belgischer,am belgischsten,belga,3
polnisch,polnischer,am polnischsten,polacco,3
spanisch,spanischer,am spanischsten,spagnolo,3
chinesisch,chinesischer,am chinesischsten,cinese,3
christlich,christlicher,am christlichsten,cristiano,3
jüdisch,jüdischer,am jüdischsten,ebraico,3
türkisch,türkischer,am türkischsten,turco,3
bitter,bitterer,am bittersten,amaro,2
sauer,saurer,am sauersten,acido,2
schief,schiefer,am schiefsten,storto,3
glatt,glatter,am glattesten,liscio,2
rauh,rauher,am rauhesten,ruvido,2
stumm,stummer,am stummsten,muto,2
taub,tauber,am taubsten,sordo,2
dumm,dümmer,am dümmsten,stupido,2
klug,klüger,am klügsten,intelligente,2
faul,fauler,am faulsten,pigro,3
fleißig,fleißiger,am fleißigsten,diligente,3
mutig,mutiger,am mutigsten,coraggioso,2
feige,feiger,am feigsten,codardo,2
ängstlich,ängstlicher,am ängstlichsten,pauroso,3
stolz,stolzer,am stolzesten,orgoglioso,3
eitel,eitler,am eitelsten,vanitoso,2
neidisch,neidischer,am neidischsten,invidioso,4
eifersüchtig,eifersüchtiger,am eifersüchtigsten,geloso,4
freundlich,freundlicher,am freundlichsten,amichevole,2
höflich,höflicher,am höflichsten,cortese,3
unhöflich,unhöflicher,am unhöflichsten,scortese,3
grob,gröber,am gröbsten,grossolano,2
lustig,lustiger,am lustigsten,divertente,2
traurig,trauriger,am traurigsten,triste,2
fröhlich,fröhlicher,am fröhlichsten,allegro,3
ernst,ernster,am ernstesten,serio,2
komisch,komischer,am komischsten,strano/buffo,3
seltsam,seltsamer,am seltsamsten,strano,3
merkwürdig,merkwürdiger,am merkwürdigsten,strano/bizzarro,3
billig,billiger,am billigsten,economico/a buon mercato,1
teuer,teurer,am teuersten,caro/costoso,1
nett,netter,am nettesten,carino/gentile,2
hübsch,hübscher,am hübschesten,carino/grazioso,3
hässlich,hässlicher,am hässlichsten,brutto,3
elegant,eleganter,am elegantesten,elegante,3
bequem,bequemer,am bequemsten,comodo,2
unbequem,unbequemer,am unbequemsten,scomodo,2
schmutzig,schmutziger,am schmutzigsten,sporco,2
sauber,sauberer,am saubersten,pulito,2
nass,nasser,am nassesten,bagnato,2
feucht,feuchter,am feuchtesten,umido,3
kühl,kühler,am kühlsten,fresco,2
kalt,kälter,am kältesten,freddo,1
heiß,heißer,am heißesten,caldo,1
hungrig,hungriger,am hungrigsten,affamato,2
durstig,durstiger,am durstigsten,assetato,2
müde,müder,am müdesten,stanco,2
wach,wacher,am wachsten,sveglio,2
aktiv,aktiver,am aktivsten,attivo,2
passiv,passiver,am passivsten,passivo,3
produktiv,produktiver,am produktivsten,produttivo,3
kreativ,kreativer,am kreativsten,creativo,3
positiv,positiver,am positivsten,positivo,3
negativ,negativer,am negativsten,negativo,3
optimistisch,optimistischer,am optimistischsten,ottimista,3
pessimistisch,pessimistischer,am pessimistischsten,pessimista,4
realistisch,realistischer,am realistischsten,realista,3
romantisch,romantischer,am romantischsten,romantico,3
dramatisch,dramatischer,am dramatischsten,drammatico,3
komfortabel,komfortabler,am komfortabelsten,confortevole,3
stabil,stabiler,am stabilsten,stabile,3
instabil,instabiler,am instabilsten,instabile,3
flexibel,flexibler,am flexibelsten,flessibile,3
mobil,mobiler,am mobilsten,mobile,2
digital,digitaler,am digitalsten,digitale,3
analog,analoger,am analogsten,analogico,3
automatisch,automatischer,am automatischsten,automatico,3
manuell,manueller,am manuellsten,manuale,3
mechanisch,mechanischer,am mechanischsten,meccanico,3
elektrisch,elektrischer,am elektrischsten,elettrico,3
chemisch,chemischer,am chemischsten,chimico,3
physisch,physischer,am physischsten,fisico,3
psychisch,psychischer,am psychischsten,psichico,3
mental,mentaler,am mentalsten,mentale,3
emotional,emotionaler,am emotionalsten,emotivo,3
rational,rationaler,am rationalsten,razionale,3
logisch,logischer,am logischsten,logico,3
kritisch,kritischer,am kritischsten,critico,3
skeptisch,skeptischer,am skeptischsten,scettico,3
ironisch,ironischer,am ironischsten,ironico,3
sarkastisch,sarkastischer,am sarkastischsten,sarcastico,3
humorvoll,humorvoller,am humorvollsten,umoristico,3
ernst,ernster,am ernstesten,serio,2
streng,strenger,am strengsten,severo/rigoroso,3
locker,lockerer,am lockersten,rilassato,2
entspannt,entspannter,am entspanntesten,rilassato,3
nervös,nervöser,am nervösesten,nervoso,3
aufgeregt,aufgeregter,am aufgeregtesten,agitato/eccitato,3
gelassen,gelassener,am gelassensten,calmo,3
ruhig,ruhiger,am ruhigsten,tranquillo,2
laut,lauter,am lautesten,rumoroso,2
leise,leiser,am leisesten,silenzioso/piano,2
deutlich,deutlicher,am deutlichsten,chiaro,3
undeutlich,undeutlicher,am undeutlichsten,poco chiaro,4
exakt,exakter,am exaktesten,esatto,2
genau,genauer,am genauesten,preciso,3
ungenau,ungenauer,am ungenauen,impreciso,3
präzise,präziser,am präzisesten,preciso,3
vage,vager,am vagesten,vago,2
konkret,konkreter,am konkretesten,concreto,3
abstrakt,abstrakter,am abstraktesten,astratto,3
theoretisch,theoretischer,am theoretischsten,teorico,3
empirisch,empirischer,am empirischsten,empirico,3
hypothetisch,hypothetischer,am hypothetischsten,ipotetico,3
real,realer,am realsten,reale,2
virtuell,virtueller,am virtuellsten,virtuale,3
imaginär,imaginärer,am imaginärsten,immaginario,3
tatsächlich,tatsächlicher,am tatsächlichsten,effettivo,3
scheinbar,scheinbarer,am scheinbarsten,apparente,3
angeblich,angeblicher,am angeblichsten,presunto,3
mutmaßlich,mutmaßlicher,am mutmaßlichsten,presunto,3
vermutlich,vermutlicher,am vermutlichsten,presumibile,3
wahrscheinlich,wahrscheinlicher,am wahrscheinlichsten,probabile,3
unwahrscheinlich,unwahrscheinlicher,am unwahrscheinlichsten,improbabile,3
sicher,sicherer,am sichersten,sicuro,3
unsicher,unsicherer,am unsichersten,insicuro,3
gewiss,gewisser,am gewissesten,certo,3
ungewiss,ungewisser,am ungewissesten,incerto,3
zweifellos,zweifelloser,am zweifellosesten,indubbio,3
zweifelhaft,zweifelhafter,am zweifelhaftesten,dubbio,3
fragwürdig,fragwürdiger,am fragwürdigsten,discutibile,3
umstritten,umstrittener,am umstrittensten,controverso,3
eindeutig,eindeutiger,am eindeutigsten,inequivocabile,3
mehrdeutig,mehrdeutiger,am mehrdeutigsten,ambiguo,3
korrekt,korrekter,am korrektesten,corretto,3
inkorrekt,inkorrekter,am inkorrektesten,scorretto,3
falsch,falscher,am falschesten,falso/sbagliato,1
wahr,wahrer,am wahrsten,vero,2
echt,echter,am echtesten,autentico,2
künstlich,künstlicher,am künstlichsten,artificiale,3
natürlich,natürlicher,am natürlichsten,naturale,3
spontan,spontaner,am spontansten,spontaneo,3
geplant,geplanter,am geplantesten,pianificato,3
organisiert,organisierter,am organisiertesten,organizzato,3
chaotisch,chaotischer,am chaotischsten,caotico,3
ordentlich,ordentlicher,am ordentlichsten,ordinato,3
unordentlich,unordentlicher,am unordentlichsten,disordinato,3
systematisch,systematischer,am systematischsten,sistematico,3
zufällig,zufälliger,am zufälligsten,casuale,3
absichtlich,absichtlicher,am absichtlichsten,intenzionale,3
unabsichtlich,unabsichtlicher,am unabsichtlichsten,involontario,4
bewusst,bewusster,am bewusstesten,consapevole,3
unbewusst,unbewusster,am unbewusstesten,inconsapevole,4