Verbo,Regolare,Significato,English,Präteritum,Participio passato,Perfetto,Caso,Riflessivo,Frequenza
kochen,sì,cucinare,to cook,kochte,gekocht,hat gekocht,Akkusativ,no,1
braten,no,friggere,to friggere,briet,gebraten,hat gebraten,Akkusativ,no,2
backen,no,cuocere al forno,to cuocere,buk/backte,gebacken,hat gebacken,Akkusativ,no,2
grillen,sì,grigliare,to grigliare,grillte,gegrillt,hat gegrillt,Akkusativ,no,2
zubereiten,sì,preparare,to prepare,bereitete zu,zubereitet,hat zubereitet,Akkusativ,no,2
servieren,sì,servire,to serve,servierte,serviert,hat serviert,Dativ + Akkusativ,no,2
probieren,sì,assaggiare,to taste,probierte,probiert,hat probiert,Akkusativ,no,1
schmecken,sì,avere sapore,to avere,schmeckte,geschmeckt,hat geschmeckt,Dativ,no,1
riechen,no,odorare,to odorare,roch,gerochen,hat gerochen,Akkusativ,no,1
duften,sì,profumare,to profumare,duftete,geduftet,hat geduftet,-,no,3
stinken,no,puzzare,to puzzare,stank,gestunken,hat gestunken,-,no,3
atmen,sì,respirare,to respirare,atmete,geatmet,hat geatmet,-,no,2
husten,sì,tossire,to tossire,hustete,gehustet,hat gehustet,-,no,2
niesen,sì,starnutire,to starnutire,nieste,geniest,hat geniest,-,no,3
üben,sì,esercitare,to esercitare,übte,geübt,hat geübt,Akkusativ,no,1
trainieren,sì,allenare,to allenare,trainierte,trainiert,hat trainiert,Akkusativ,no,1
unterrichten,sì,insegnare,to teach,unterrichtete,unterrichtet,hat unterrichtet,Akkusativ,no,2
lehren,sì,insegnare,to teach,lehrte,gelehrt,hat gelehrt,Dativ + Akkusativ,no,2
beibringen,no,insegnare,to teach,brachte bei,beigebracht,hat beigebracht,Dativ + Akkusativ,no,2
ausbilden,sì,formare,to form,bildete aus,ausgebildet,hat ausgebildet,Akkusativ,no,2
erziehen,no,educare,to educare,erzog,erzogen,hat erzogen,Akkusativ,no,2
präsentieren,sì,presentare,to present,präsentierte,präsentiert,hat präsentiert,Dativ + Akkusativ,no,2
demonstrieren,sì,dimostrare,to demonstrate,demonstrierte,demonstriert,hat demonstriert,Akkusativ,no,2
zeigen,sì,indicare,to indicate,zeigte,gezeigt,hat gezeigt,Dativ + Akkusativ,no,1
empfehlen,no,raccomandare,to raccomandare,empfahl,empfohlen,hat empfohlen,Dativ + Akkusativ,no,2
raten,no,consigliare,to advise,riet,geraten,hat geraten,Dativ,no,2
vorschlagen,no,proporre,to propose,schlug vor,vorgeschlagen,hat vorgeschlagen,Dativ + Akkusativ,no,2
beraten,no,consigliare,to advise,beriet,beraten,hat beraten,Akkusativ,no,2
informieren,sì,informare,to inform,informierte,informiert,hat informiert,Akkusativ,no,2
mitteilen,sì,comunicare,to communicate,teilte mit,mitgeteilt,hat mitgeteilt,Dativ + Akkusativ,no,2
melden,sì,annunciare,to announce,meldete,gemeldet,hat gemeldet,Akkusativ,sì,2
benachrichtigen,sì,avvisare,to avvisare,benachrichtigte,benachrichtigt,hat benachrichtigt,Akkusativ,no,2
warnen,sì,avvertire,to avvertire,warnte,gewarnt,hat gewarnt,Akkusativ,no,2
mahnen,sì,ammonire,to ammonire,mahnte,gemahnt,hat gemahnt,Akkusativ,no,3
ermahnen,sì,ammonire,to ammonire,ermahnte,ermahnt,hat ermahnt,Akkusativ,no,3
ermahnten,sì,esortare,to esortare,ermahnte,ermahnt,hat ermahnt,Akkusativ,no,3
bieten,no,offrire,to offer,bot,geboten,hat geboten,Dativ + Akkusativ,no,2
anbieten,no,offrire,to offer,bot an,angeboten,hat angeboten,Dativ + Akkusativ,no,2
schenken,sì,regalare,to regalare,schenkte,geschenkt,hat geschenkt,Dativ + Akkusativ,no,1
spenden,sì,donare,to donare,spendete,gespendet,hat gespendet,Dativ + Akkusativ,no,2
widmen,sì,dedicare,to dedicate,widmete,gewidmet,hat gewidmet,Dativ + Akkusativ,no,3
opfern,sì,sacrificare,to sacrificare,opferte,geopfert,hat geopfert,Akkusativ,no,3
verleihen,no,prestare/conferire,to prestare/conferire,verlieh,verliehen,hat verliehen,Dativ + Akkusativ,no,3
gewähren,sì,concedere,to concedere,gewährte,gewährt,hat gewährt,Dativ + Akkusativ,no,3
erlauben,sì,permettere,to allow/permit,erlaubte,erlaubt,hat erlaubt,Dativ + Akkusativ,no,1
gestatten,sì,permettere,to allow/permit,gestattete,gestattet,hat gestattet,Dativ + Akkusativ,no,3
genehmigen,sì,approvare,to approvare,genehmigte,genehmigt,hat genehmigt,Akkusativ,no,2
verbieten,no,vietare,to vietare,verbot,verboten,hat verboten,Dativ + Akkusativ,no,2
untersagen,sì,proibire,to proibire,untersagte,untersagt,hat untersagt,Dativ + Akkusativ,no,3
hindern,sì,impedire,to impedire,hinderte,gehindert,hat gehindert,Akkusativ,no,2
verhindern,sì,impedire,to impedire,verhinderte,verhindert,hat verhindert,Akkusativ,no,2
stören,sì,disturbare,to disturbare,störte,gestört,hat gestört,Akkusativ,no,2
unterbrechen,no,interrompere,to interrompere,unterbrach,unterbrochen,hat unterbrochen,Akkusativ,no,2
fortfahren,no,continuare,to continue,fuhr fort,fortgefahren,ist fortgefahren,-,no,3
weitergehen,no,continuare,to continue,ging weiter,weitergegangen,ist weitergegangen,-,no,2
aufgeben,no,rinunciare,to give up,gab auf,aufgegeben,hat aufgegeben,Akkusativ,no,2
verzichten,sì,rinunciare,to give up,verzichtete,verzichtet,hat verzichtet,Akkusativ,no,2
vermeiden,no,evitare,to avoid,vermied,vermieden,hat vermieden,Akkusativ,no,2
verweigern,sì,rifiutare,to refuse,verweigerte,verweigert,hat verweigert,Akkusativ,no,2
ablehnen,sì,rifiutare,to refuse,lehnte ab,abgelehnt,hat abgelehnt,Akkusativ,no,2
zurückweisen,no,respingere,to respingere,wies zurück,zurückgewiesen,hat zurückgewiesen,Akkusativ,no,3
akzeptieren,sì,accettare,to accept,akzeptierte,akzeptiert,hat akzeptiert,Akkusativ,no,2
annehmen,no,accettare,to accept,nahm an,angenommen,hat angenommen,Akkusativ,no,1
empfangen,no,ricevere,to receive,empfing,empfangen,hat empfangen,Akkusativ,no,3
begrüßen,sì,salutare,to greet,begrüßte,begrüßt,hat begrüßt,Akkusativ,no,1
willkommen heißen,no,dare il benvenuto,to dare,hieß willkommen,willkommen geheißen,hat willkommen geheißen,Akkusativ,no,3
verabschieden,sì,congedarsi,to congedarsi,verabschiedete,verabschiedet,hat verabschiedet,Akkusativ,sì,1
verlassen,no,lasciare,to let/leave,verließ,verlassen,hat verlassen,Akkusativ,no,1
weggehen,no,andare via,to andare,ging weg,weggegangen,ist weggegangen,-,no,1
fortgehen,no,andare via,to andare,ging fort,fortgegangen,ist fortgegangen,-,no,2
abreisen,sì,partire,to leave/depart,reiste ab,abgereist,ist abgereist,-,no,2
abfahren,no,partire,to leave/depart,fuhr ab,abgefahren,ist abgefahren,-,no,2
ankommen,no,arrivare,to arrive,kam an,angekommen,ist angekommen,-,no,1
zurückkommen,no,tornare,to return,kam zurück,zurückgekommen,ist zurückgekommen,-,no,1
zurückkehren,sì,ritornare,to ritornare,kehrte zurück,zurückgekehrt,ist zurückgekehrt,-,no,2
heimkehren,sì,tornare a casa,to tornare,kehrte heim,heimgekehrt,ist heimgekehrt,-,no,3
besuchen,sì,visitare,to visit,besuchte,besucht,hat besucht,Akkusativ,no,1
besichtigen,sì,visitare,to visit,besichtigte,besichtigt,hat besichtigt,Akkusativ,no,2
erkunden,sì,esplorare,to esplorare,erkundete,erkundet,hat erkundet,Akkusativ,no,3
erforschen,sì,esplorare,to esplorare,erforschte,erforscht,hat erforscht,Akkusativ,no,3
untersuchen,sì,indagare,to indagare,untersuchte,untersucht,hat untersucht,Akkusativ,no,2
prüfen,sì,verificare,to verify,prüfte,geprüft,hat geprüft,Akkusativ,no,2
testen,sì,testare,to testare,testete,getestet,hat getestet,Akkusativ,no,2
kontrollieren,sì,controllare,to controllare,kontrollierte,kontrolliert,hat kontrolliert,Akkusativ,no,2
überprüfen,sì,verificare,to verify,überprüfte,überprüft,hat überprüft,Akkusativ,no,2
nachprüfen,sì,controllare,to controllare,prüfte nach,nachgeprüft,hat nachgeprüft,Akkusativ,no,3
bestätigen,sì,confermare,to confermare,bestätigte,bestätigt,hat bestätigt,Akkusativ,no,2
bejahen,sì,affermare,to affirm/state,bejahte,bejaht,hat bejaht,Akkusativ,no,3
verneinen,sì,negare,to deny,verneinte,verneint,hat verneint,Akkusativ,no,3
leugnen,sì,negare,to deny,leugnete,geleugnet,hat geleugnet,Akkusativ,no,3
widersprechen,no,contraddire,to contraddire,widersprach,widersprochen,hat widersprochen,Dativ,no,2
zustimmen,sì,essere d'accordo,to essere,stimmte zu,zugestimmt,hat zugestimmt,Dativ,no,2
einwilligen,sì,acconsentire,to acconsentire,willigte ein,eingewilligt,hat eingewilligt,Akkusativ,no,3
einverstanden sein,no,essere d'accordo,to essere,war einverstanden,einverstanden gewesen,ist einverstanden gewesen,-,no,2
protestieren,sì,protestare,to protestare,protestierte,protestiert,hat protestiert,-,no,2
demonstrieren,sì,manifestare,to manifest,demonstrierte,demonstriert,hat demonstriert,-,no,2
rebellieren,sì,ribellarsi,to ribellarsi,rebellierte,rebelliert,hat rebelliert,-,no,3
revoltieren,sì,rivoltarsi,to rivoltarsi,revoltierte,revoltiert,hat revoltiert,-,no,4
kämpfen,sì,lottare,to lottare,kämpfte,gekämpft,hat gekämpft,-,no,2
ringen,no,lottare,to lottare,rang,gerungen,hat gerungen,-,no,3
streiten,no,disputare,to disputare,stritt,gestritten,hat gestritten,-,no,2
zanken,sì,litigare,to litigare,zankte,gezankt,hat gezankt,-,sì,3
schimpfen,sì,sgridare,to sgridare,schimpfte,geschimpft,hat geschimpft,-,no,2
fluchen,sì,bestemmiare,to bestemmiare,fluchte,geflucht,hat geflucht,-,no,3
schwören,no,giurare,to giurare,schwor,geschworen,hat geschworen,Akkusativ,no,3
versichern,sì,assicurare,to assicurare,versicherte,versichert,hat versichert,Dativ + Akkusativ,no,2
garantieren,sì,garantire,to guarantee,garantierte,garantiert,hat garantiert,Dativ + Akkusativ,no,2
gewährleisten,sì,garantire,to guarantee,gewährleistete,gewährleistet,hat gewährleistet,Akkusativ,no,3
sichern,sì,assicurare,to assicurare,sicherte,gesichert,hat gesichert,Akkusativ,no,2
schützen,sì,proteggere,to protect,schützte,geschützt,hat geschützt,Akkusativ,no,2
bewahren,sì,conservare,to preserve/keep,bewahrte,bewahrt,hat bewahrt,Akkusativ,no,2
erhalten,no,conservare,to preserve/keep,erhielt,erhalten,hat erhalten,Akkusativ,no,2
aufbewahren,sì,conservare,to preserve/keep,bewahrte auf,aufbewahrt,hat aufbewahrt,Akkusativ,no,2
speichern,sì,salvare/memorizzare,to salvare/memorizzare,speicherte,gespeichert,hat gespeichert,Akkusativ,no,2
lagern,sì,immagazzinare,to immagazzinare,lagerte,gelagert,hat gelagert,Akkusativ,no,3
aufheben,no,conservare,to preserve/keep,hob auf,aufgehoben,hat aufgehoben,Akkusativ,no,2
wegwerfen,no,buttare via,to buttare,warf weg,weggeworfen,hat weggeworfen,Akkusativ,no,1
entsorgen,sì,smaltire,to smaltire,entsorgte,entsorgt,hat entsorgt,Akkusativ,no,3
beseitigen,sì,eliminare,to eliminate,beseitigte,beseitigt,hat beseitigt,Akkusativ,no,3
entfernen,sì,rimuovere,to rimuovere,entfernte,entfernt,hat entfernt,Akkusativ,no,2
löschen,sì,cancellare,to cancellare,löschte,gelöscht,hat gelöscht,Akkusativ,no,2
streichen,no,cancellare,to cancellare,strich,gestrichen,hat gestrichen,Akkusativ,no,2
tilgen,sì,cancellare,to cancellare,tilgte,getilgt,hat getilgt,Akkusativ,no,4
vernichten,sì,distruggere,to distruggere,vernichtete,vernichtet,hat vernichtet,Akkusativ,no,3
zerstören,sì,distruggere,to distruggere,zerstörte,zerstört,hat zerstört,Akkusativ,no,2
ruinieren,sì,rovinare,to rovinare,ruinierte,ruiniert,hat ruiniert,Akkusativ,no,3
beschädigen,sì,danneggiare,to danneggiare,beschädigte,beschädigt,hat beschädigt,Akkusativ,no,2
verletzen,sì,ferire,to ferire,verletzte,verletzt,hat verletzt,Akkusativ,no,2
verwunden,sì,ferire,to ferire,verwundete,verwundet,hat verwundet,Akkusativ,no,3
schaden,sì,danneggiare,to danneggiare,schadete,geschadet,hat geschadet,Dativ,no,2
nützen,sì,essere utile,to essere,nützte,genützt,hat genützt,Dativ,no,2
nutzen,sì,usare,to usare,nutzte,genutzt,hat genutzt,Akkusativ,no,2
helfen,no,aiutare,to help,half,geholfen,hat geholfen,Dativ,no,1
unterstützen,sì,sostenere,to support/claim,unterstützte,unterstützt,hat unterstützt,Akkusativ,no,2
beistehen,no,assistere,to assistere,stand bei,beigestanden,hat beigestanden,Dativ,no,3
assistieren,sì,assistere,to assistere,assistierte,assistiert,hat assistiert,Dativ,no,3
dienen,sì,servire,to serve,diente,gedient,hat gedient,Dativ,no,2
begünstigen,sì,favorire,to favorire,begünstigte,begünstigt,hat begünstigt,Akkusativ,no,3
bevorzugen,sì,preferire,to prefer,bevorzugte,bevorzugt,hat bevorzugt,Akkusativ,no,2
vorziehen,no,preferire,to prefer,zog vor,vorgezogen,hat vorgezogen,Akkusativ,no,2
wählen,sì,scegliere,to choose,wählte,gewählt,hat gewählt,Akkusativ,no,1
auswählen,sì,selezionare,to selezionare,wählte aus,ausgewählt,hat ausgewählt,Akkusativ,no,2
aussuchen,sì,scegliere,to choose,suchte aus,ausgesucht,hat ausgesucht,Akkusativ,no,2
entscheiden,no,decidere,to decide,entschied,entschieden,hat entschieden,Akkusativ,sì,1
bestimmen,sì,decidere,to decide,bestimmte,bestimmt,hat bestimmt,Akkusativ,no,2
festlegen,sì,stabilire,to establish,legte fest,festgelegt,hat festgelegt,Akkusativ,no,2
festsetzen,sì,fissare,to fissare,setzte fest,festgesetzt,hat festgesetzt,Akkusativ,no,3
vereinbaren,sì,concordare,to concordare,vereinbarte,vereinbart,hat vereinbart,Akkusativ,no,2
verabreden,sì,fissare un appuntamento,to fissare,verabredete,verabredet,hat verabredet,Akkusativ,sì,2
absprechen,no,concordare,to concordare,sprach ab,abgesprochen,hat abgesprochen,Akkusativ,no,3
koordinieren,sì,coordinare,to coordinare,koordinierte,koordiniert,hat koordiniert,Akkusativ,no,2
abstimmen,sì,coordinare,to coordinare,stimmte ab,abgestimmt,hat abgestimmt,Akkusativ,no,2
anpassen,sì,adattare,to adattare,passte an,angepasst,hat angepasst,Akkusativ,sì,2
adaptieren,sì,adattare,to adattare,adaptierte,adaptiert,hat adaptiert,Akkusativ,no,3
modifizieren,sì,modificare,to modify,modifizierte,modifiziert,hat modifiziert,Akkusativ,no,3
verändern,sì,modificare,to modify,veränderte,verändert,hat verändert,Akkusativ,sì,2
umwandeln,sì,trasformare,to transform,wandelte um,umgewandelt,hat umgewandelt,Akkusativ,no,3
verwandeln,sì,trasformare,to transform,verwandelte,verwandelt,hat verwandelt,Akkusativ,sì,2
umformen,sì,trasformare,to transform,formte um,umgeformt,hat umgeformt,Akkusativ,no,3
gestalten,sì,configurare,to configurare,gestaltete,gestaltet,hat gestaltet,Akkusativ,no,2
formen,sì,formare,to form,formte,geformt,hat geformt,Akkusativ,no,2
prägen,sì,coniare/caratterizzare,to coniare/caratterizzare,prägte,geprägt,hat geprägt,Akkusativ,no,2
beeinflussen,sì,influenzare,to influenzare,beeinflusste,beeinflusst,hat beeinflusst,Akkusativ,no,2
wirken,sì,agire/avere effetto,to agire/avere,wirkte,gewirkt,hat gewirkt,-,no,2
auswirken,sì,avere effetto,to avere,wirkte aus,ausgewirkt,hat ausgewirkt,-,sì,2
einwirken,sì,agire su,to agire,wirkte ein,eingewirkt,hat eingewirkt,Akkusativ,no,3
betreffen,no,riguardare,to concern,betraf,betroffen,hat betroffen,Akkusativ,no,2
angehen,no,riguardare,to concern,ging an,angegangen,hat angegangen,Akkusativ,no,2
berühren,sì,toccare,to touch,berührte,berührt,hat berührt,Akkusativ,no,2
betasten,sì,palpare,to palpare,betastete,betastet,hat betastet,Akkusativ,no,3
anfassen,sì,toccare,to touch,fasste an,angefasst,hat angefasst,Akkusativ,no,1
greifen,no,afferrare,to afferrare,griff,gegriffen,hat gegriffen,Akkusativ,no,2
ergreifen,no,afferrare,to afferrare,ergriff,ergriffen,hat ergriffen,Akkusativ,no,2
packen,sì,afferrare,to afferrare,packte,gepackt,hat gepackt,Akkusativ,no,1
fassen,sì,afferrare,to afferrare,fasste,gefasst,hat gefasst,Akkusativ,no,2
festhalten,no,tenere fermo,to tenere,hielt fest,festgehalten,hat festgehalten,Akkusativ,no,2
halten,no,tenere,to hold/keep,hielt,gehalten,hat gehalten,Akkusativ,no,1
tragen,no,portare,to bring/carry,trug,getragen,hat getragen,Akkusativ,no,1
schleppen,sì,trascinare,to trascinare,schleppte,geschleppt,hat geschleppt,Akkusativ,no,2
ziehen,no,tirare,to pull,zog,gezogen,hat gezogen,Akkusativ,no,1
zerren,sì,tirare con forza,to tirare,zerrte,gezerrt,hat gezerrt,Akkusativ,no,3
drücken,sì,premere,to premere,drückte,gedrückt,hat gedrückt,Akkusativ,no,1
pressen,sì,premere,to premere,presste,gepresst,hat gepresst,Akkusativ,no,3
schieben,no,spingere,to spingere,schob,geschoben,hat geschoben,Akkusativ,no,1
stoßen,no,spingere,to spingere,stieß,gestoßen,hat gestoßen,Akkusativ,no,2
werfen,no,lanciare,to lanciare,warf,geworfen,hat geworfen,Akkusativ,no,1
schleudern,sì,lanciare,to lanciare,schleuderte,geschleudert,hat geschleudert,Akkusativ,no,3
schießen,no,sparare,to sparare,schoss,geschossen,hat geschossen,Akkusativ,no,2
treffen,no,colpire,to colpire,traf,getroffen,hat getroffen,Akkusativ,no,1
schlagen,no,colpire,to colpire,schlug,geschlagen,hat geschlagen,Akkusativ,no,1
hauen,no,picchiare,to picchiare,hieb/haute,gehauen,hat gehauen,Akkusativ,no,2
prügeln,sì,picchiare,to picchiare,prügelte,geprügelt,hat geprügelt,Akkusativ,no,3
boxen,sì,fare a pugni,to fare,boxte,geboxt,hat geboxt,-,no,3
kämpfen,sì,combattere,to fight,kämpfte,gekämpft,hat gekämpft,-,no,2
fechten,no,fare scherma,to fare,focht,gefochten,hat gefochten,-,no,4
ringen,no,lottare,to lottare,rang,gerungen,hat gerungen,-,no,3
schwimmen,no,nuotare,to swim,schwamm,geschwommen,ist geschwommen,-,no,1
tauchen,sì,immergersi,to immergersi,tauchte,getaucht,hat/ist getaucht,-,no,2
segeln,sì,navigare a vela,to navigare,segelte,gesegelt,ist gesegelt,-,no,3
rudern,sì,remare,to remare,ruderte,gerudert,ist gerudert,-,no,3
paddeln,sì,pagaiare,to pagaiare,paddelte,gepaddelt,ist gepaddelt,-,no,4
klettern,sì,arrampicarsi,to arrampicarsi,kletterte,geklettert,ist geklettert,-,no,2
steigen,no,salire,to go up/climb,stieg,gestiegen,ist gestiegen,-,no,1
springen,no,saltare,to jump,sprang,gesprungen,ist gesprungen,-,no,1
hüpfen,sì,saltellare,to saltellare,hüpfte,gehüpft,ist gehüpft,-,no,2
tanzen,sì,ballare,to dance,tanzte,getanzt,hat getanzt,-,no,1
singen,no,cantare,to sing,sang,gesungen,hat gesungen,Akkusativ,no,1
pfeifen,no,fischiare,to fischiare,pfiff,gepfiffen,hat gepfiffen,Akkusativ,no,2
summen,sì,canticchiare,to canticchiare,summte,gesummt,hat gesummt,Akkusativ,no,3
brummen,sì,ronzare,to ronzare,brummte,gebrummt,hat gebrummt,-,no,3
rauschen,sì,scrosciare,to scrosciare,rauschte,gerauscht,hat gerauscht,-,no,3
klingen,no,suonare,to suonare,klang,geklungen,hat geklungen,-,no,2
tönen,sì,risuonare,to risuonare,tönte,getönt,hat getönt,-,no,3
läuten,sì,suonare (campana),to suonare,läutete,geläutet,hat geläutet,-,no,3
klingeln,sì,suonare (campanello),to suonare,klingelte,geklingelt,hat geklingelt,-,no,2
läuten,sì,squillare,to squillare,läutete,geläutet,hat geläutet,-,no,3
ticken,sì,ticchettare,to ticchettare,tickte,getickt,hat getickt,-,no,3
schnarchen,sì,russare,to russare,schnarchte,geschnarcht,hat geschnarcht,-,no,3
gähnen,sì,sbadigliare,to sbadigliare,gähnte,gegähnt,hat gegähnt,-,no,2
seufzen,sì,sospirare,to sospirare,seufzte,geseufzt,hat geseufzt,-,no,3
stöhnen,sì,gemere,to gemere,stöhnte,gestöhnt,hat gestöhnt,-,no,3
ächzen,sì,gemere,to gemere,ächzte,geächzt,hat geächzt,-,no,4
